"CD8.c06.Tem.GZMK"	"CD8.c07.Temra.CX3CR1"	"CD8.c02.Tm.IL7R"	"CD8.c16.MAIT.SLC4A10"	"CD8.c01.Tn.MAL"	"CD8.c05.Tem.CXCR5"	"CD8.c09.Tk.KIR2DL4"	"CD8.c03.Tm.RPS12"	"CD8.c04.Tm.CD52"	"CD8.c10.Trm.ZNF683"	"CD8.c17.Tm.NME1"	"CD8.c15.ISG.IFIT1"	"CD8.c08.Tk.TYROBP"	"CD8.c11.Tex.PDCD1"	"CD8.c14.Tex.TCF7"	"CD8.c12.Tex.CXCL13"
"FO538757.2"	4.96159309692344e-05	6.11362029131891e-05	3.6843534922898e-05	5.104957223073e-05	3.93899441292061e-05	4.38499305967894e-05	1.50004081438873e-05	6.14352719202593e-05	8.57785911682184e-05	3.82315190112898e-05	9.22551752106029e-06	4.4421427780701e-05	3.57261689245305e-05	4.84698108600958e-05	1.90628544070429e-05	4.13006637483998e-05
"SAMD11"	1e-08	1e-08	1e-08	1e-08	1e-08	1e-08	1e-08	1e-08	1.79684564933788e-06	1e-08	1e-08	1e-08	1e-08	1e-08	1e-08	1e-08
"NOC2L"	5.76913150805051e-05	4.94424945297964e-05	5.12782986088986e-05	6.47909955236188e-05	6.47056224979815e-05	4.27935467269873e-05	7.99588434340658e-05	5.22214811322204e-05	4.28942955841092e-05	5.47509890924405e-05	4.60875876053015e-05	7.17515371842093e-05	6.25132956179284e-05	4.84698108600958e-05	9.52742720352144e-05	5.8996662497714e-05
"KLHL17"	3.47087890483031e-06	2.13612879698049e-06	1.00550094386211e-06	3.93612094082538e-06	2.82285315208615e-06	2.12276773960431e-06	1e-08	3.08126359601296e-06	1.79684564933788e-06	1.62955589030889e-06	9.22551752106029e-06	1e-08	1e-08	6.06747635751198e-06	1e-08	1e-08
"PLEKHN1"	2.3172526032202e-06	1.07306439849025e-06	2.99650283158633e-06	1e-08	2.82285315208615e-06	4.7637274141097e-06	1e-08	3.08126359601296e-06	1.07310738960273e-05	3.24911178061778e-06	1e-08	6.84252735087707e-06	1e-08	1e-08	1e-08	5.9086662497714e-06
"HES4"	8.08538411127072e-06	3.4559592950933e-05	1.34492627421385e-05	1.96406047041269e-05	1.40742657604308e-05	4.23553547920862e-06	2.99908162877747e-05	3.08126359601296e-06	1e-08	1.23186247663476e-05	9.22551752106029e-06	6.84252735087707e-06	8.93904223113262e-06	6.06747635751198e-06	1.90628544070429e-05	5.9086662497714e-06
"ISG15"	0.000184590208257616	0.000188172398532773	0.000125443118926626	0.000206131349393333	0.000168781189125169	0.000144734590162895	0.000264840543875343	0.000144359389012609	0.000107220738960273	0.000183343726782966	0.000156673797858025	0.00127427635093857	0.000232165098009448	0.000302883817875599	0.000342961379326772	0.000159273988743828
"AGRN"	1e-08	1.60459659773537e-06	1e-08	1.97306047041269e-06	1.41642657604308e-06	1e-08	1e-08	1e-08	1e-08	6.57822356123556e-07	1e-08	1.02587910263156e-05	1e-08	1e-08	1e-08	5.9086662497714e-06
"RNF223"	1e-08	1e-08	1e-08	1.97306047041269e-06	1e-08	1e-08	1e-08	1e-08	1e-08	1e-08	1e-08	1e-08	1e-08	1e-08	1e-08	1e-08
"C1orf159"	5.77813150805051e-06	3.73072539471586e-06	6.97850660703476e-06	3.93612094082538e-06	7.04213288021538e-06	8.46107095841724e-06	1.00036054292582e-05	3.08126359601296e-06	1.6091610844041e-05	5.19257884898845e-06	1.84410350421206e-05	3.42626367543854e-06	1e-08	1e-08	1e-08	1e-08
"TNFRSF18"	1.03926367144909e-05	1.22352405826378e-05	7.97400755089687e-06	5.89018141123807e-05	8.44855945625846e-06	4.7637274141097e-06	8.49556461486949e-05	9.22379078803889e-06	1.43047651947031e-05	1.84729371495214e-05	2.76565525631809e-05	1.36750547017541e-05	8.93004223113262e-05	1.2124952715024e-05	0.000457278505769029	9.43886599963423e-05
"TNFRSF4"	3.47087890483031e-06	1.27667727818829e-05	9.96500943862109e-06	2.5529786115365e-05	2.25128252166892e-05	2.12276773960431e-06	4.99780271462911e-05	3.08126359601296e-06	3.58369129867577e-06	9.40342416379157e-06	3.68720700842412e-05	3.42626367543854e-06	1.78680844622652e-05	6.06747635751198e-06	0.000866914875520451	1.18073324995428e-05
"SDF4"	0.00011306537755779	0.000162658852969007	0.000148339640635454	0.000135461172458476	0.000133620524724092	0.00013258617566017	0.000174898095012019	0.000116718016648493	0.000135810269349679	0.000149009141908418	0.000211966902984387	0.000119579228640349	0.000178590844622652	0.000133274479865264	0.000219117825680993	0.000141577989994513
