	Fibroblast.c01.MYH11	Fibroblast.c02.ADAMDEC1	Fibroblast.c03.COL15A1	Fibroblast.c04.LRRC15	Fibroblast.c05.PI16	Fibroblast.c06.ADH1B	Fibroblast.c07.IL6	Fibroblast.c08.RGS5	Fibroblast.c09.CTNNB1	Fibroblast.c10.PRG4	Fibroblast.c11.HOPX	Fibroblast.c12.MSLN	Fibroblast.c13.HGF	Fibroblast.c14.HSPA6	Fibroblast.c15.SOX6	Fibroblast.c16.SFRP2	Fibroblast.c17.STMN1	Fibroblast.c18.HHIP	Fibroblast.c19.MMP1	Fibroblast.c20.CD74
A1CF	0.047304171	0	0	0	0.000206996	0.031421838	0	0.006772009	0	0	0	0	0.059701493	0.000791139	0	0	0	0	0	0
A2M	171.8769074	5.82885906	3.857321652	3.676072494	0.429724695	11.2238806	15.03061224	196.8377943	1.612529002	1	39.19230769	6.794871795	522.0447761	12.29588608	7.851099831	3.133949192	1.468390805	9.256097561	3.602739726	21.3559322
A3GALT2	0	0	0	0.000688231	0	0.000785546	0	0.000644953	0	0	0	0	0	0	0	0	0	0	0	0
AACS	0.387080366	0.052013423	0.052982895	0.115393439	0.114883047	0.030636292	0.112244898	0.820219284	0.025522042	0	0.084880637	0.051282051	3.47761194	0.075949367	0.062605753	0.653579677	0.031609195	0.073170732	0.134417808	0.418079096
AADAC	0.102238047	0.001677852	0.123487693	0.002064694	0.025460567	0.040062844	0	0.006449532	0.011600928	0	0	0	0.029850746	0.006329114	0	0.002309469	0.011494253	0	0	0
AADACL3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACL4	0	0	0.001251564	0	0.003104947	0.000785546	0.010204082	0	0	0	0	0	0	0.000791139	0	0.002309469	0	0	0	0
AADAT	0.153611394	0.033557047	0.020025031	0.057582014	0.01883668	0.011783189	0.040816327	0.092389552	0.011600928	0	0.038461538	0.051282051	0.328358209	0.030063291	0.030456853	0.030023095	0.014367816	0.036585366	0.039383562	0.02259887
AARS2	0.597151577	0.045302013	0.052982895	0.06629961	0.038708342	0.027494108	0.030612245	0.65075782	0.016241299	0	0.067639257	0.025641026	2.537313433	0.038765823	0.027072758	0.057736721	0.017241379	0.012195122	0.053938356	0.04519774
AATBC	0.089013225	0	0	0.000458821	0	0	0	0.008223154	0	0	0	0	0	0	0	0	0	0	0	0
AATF	3.701424212	0.119127517	0.188569045	0.338609773	0.253363693	0.095836606	0.5	2.133021606	0.109048724	0	0.457559682	0.333333333	15.23880597	0.670886076	0.23857868	0.337182448	0.183908046	0.280487805	0.417808219	1.937853107
ABAT	0.177517803	0.021812081	0.012098456	0.0220234	0.009314842	0.004713276	0.010204082	0.163818123	0.004640371	0	0.165782493	0	0	0.02056962	0.013536379	0.020785219	0.00862069	0	0.018835616	0.028248588
