	Macro.c08.NLRP3	Macro.c07.LYVE1	Macro.c05.INHBA	Macro.c01.C1QC	Macro.c03.GPNMB	Macro.c04.IL1B	Macro.c02.FN1	Macro.c06.ISG15	Macro.c09.SPP1
NOC2L	5.95E-05	5.60E-05	5.85E-05	5.72E-05	7.31E-05	5.86E-05	7.77E-05	6.78E-05	6.54E-05
KLHL17	2.40E-06	6.02E-06	4.25E-06	4.15E-06	2.04E-06	1.53E-06	1.52E-06	1.63E-06	5.17E-06
PLEKHN1	1.93E-06	4.07E-07	3.61E-06	1.06E-06	5.10E-07	1.38E-07	9.85E-07	3.14E-06	3.60E-06
HES4	0.000149127	8.17E-05	0.000199526	0.000122446	0.000165364	0.000187312	0.000192006	0.000220699	5.61E-05
ISG15	0.000255274	0.000143996	0.000487181	0.000347842	0.000253419	0.000191597	0.000272033	0.000760181	0.00031281
AGRN	8.19E-06	1.44E-05	1.21E-05	2.09E-05	7.29E-06	4.72E-06	7.80E-06	1.92E-05	2.23E-05
C1orf159	7.12E-06	1.30E-05	5.60E-06	8.58E-06	8.93E-06	9.13E-06	5.81E-06	8.60E-06	8.49E-06
TTLL10	1.00E-08	1.00E-08	1.00E-08	4.77E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08
TNFRSF18	6.54E-06	3.23E-06	2.94E-05	9.60E-06	1.61E-05	8.99E-06	8.47E-06	1.85E-05	7.25E-06
TNFRSF4	1.02E-05	1.56E-05	3.90E-05	2.97E-05	3.90E-05	3.00E-05	2.04E-05	5.32E-05	1.01E-05
SDF4	0.000218193	0.000203446	0.000221558	0.000232889	0.000241907	0.00019576	0.000238721	0.000275348	0.000280124
B3GALT6	3.13E-05	3.37E-05	1.98E-05	3.16E-05	6.28E-05	4.94E-05	6.59E-05	4.07E-05	2.57E-05
UBE2J2	7.18E-05	6.91E-05	6.35E-05	7.38E-05	7.77E-05	6.31E-05	7.75E-05	7.08E-05	8.79E-05
SCNN1D	1.59E-06	3.25E-06	1.77E-06	2.66E-06	6.65E-07	1.43E-06	2.39E-07	1.00E-08	5.14E-07
ACAP3	2.31E-05	2.12E-05	1.16E-05	1.98E-05	8.70E-06	1.24E-05	1.33E-05	1.31E-05	1.74E-05
PUSL1	1.66E-05	1.38E-05	1.79E-05	2.01E-05	2.90E-05	1.39E-05	1.99E-05	2.68E-05	2.14E-05
CPTP	4.04E-06	1.42E-05	1.16E-05	1.96E-05	2.26E-05	1.09E-05	1.09E-05	1.18E-05	1.67E-05
DVL1	9.79E-06	1.25E-05	8.27E-06	1.04E-05	3.59E-06	4.93E-06	9.38E-06	1.46E-05	1.32E-05
AURKAIP1	0.000316524	0.000215003	0.000234076	0.000287372	0.000312175	0.000224503	0.000353473	0.000366843	0.000325113
CCNL2	6.29E-05	9.61E-05	5.11E-05	6.96E-05	6.37E-05	5.15E-05	6.95E-05	5.57E-05	6.95E-05
ANKRD65	5.13E-07	1.89E-06	3.16E-06	1.76E-06	3.59E-06	4.73E-06	3.30E-06	1.34E-06	8.41E-07
VWA1	1.04E-07	4.43E-07	1.00E-08	6.18E-07	2.97E-06	7.79E-07	1.00E-08	1.00E-08	7.13E-07
ATAD3C	3.57E-07	7.88E-07	1.24E-06	6.40E-07	1.94E-06	1.53E-06	5.74E-07	1.00E-08	6.15E-07
ATAD3B	2.02E-05	2.87E-05	1.59E-05	1.82E-05	1.23E-05	1.15E-05	1.83E-05	2.91E-05	1.98E-05
ATAD3A	1.86E-05	1.96E-05	2.10E-05	1.98E-05	2.09E-05	2.15E-05	1.90E-05	2.27E-05	2.25E-05
SSU72	0.00027185	0.000219443	0.000220337	0.000266222	0.000292186	0.000246174	0.00028123	0.000264748	0.00027048
MIB2	3.07E-05	3.67E-05	2.52E-05	3.01E-05	2.22E-05	2.57E-05	2.88E-05	1.75E-05	3.59E-05
MMP23B	8.63E-07	2.29E-06	3.46E-07	8.11E-07	7.29E-07	9.34E-07	8.50E-07	4.55E-07	5.89E-07
CDK11B	8.96E-05	7.31E-05	5.23E-05	6.71E-05	6.93E-05	5.90E-05	8.06E-05	6.02E-05	5.90E-05
SLC35E2B	1.66E-05	3.24E-05	1.36E-05	2.66E-05	1.60E-05	1.92E-05	1.92E-05	1.28E-05	2.40E-05
CDK11A	6.69E-05	5.14E-05	4.10E-05	5.00E-05	5.05E-05	4.43E-05	5.70E-05	5.69E-05	5.40E-05
NADK	9.62E-05	4.97E-05	5.56E-05	8.05E-05	7.84E-05	5.18E-05	6.00E-05	0.000128347	7.98E-05
GNB1	0.000294922	0.000207298	0.00019583	0.000207362	0.000167999	0.000137061	0.000179498	0.000254511	0.000224656
TMEM52	6.50E-07	4.16E-07	1.00E-08	7.80E-07	1.04E-06	4.91E-07	4.73E-07	1.00E-08	1.46E-06
PRKCZ	9.08E-06	5.48E-06	1.41E-05	5.11E-06	6.00E-06	1.13E-05	3.04E-06	5.25E-06	2.83E-06
SKI	0.000118957	8.67E-05	6.93E-05	7.04E-05	4.28E-05	5.05E-05	7.76E-05	6.35E-05	9.30E-05
MORN1	1.51E-06	4.04E-06	2.74E-06	3.28E-06	3.73E-06	2.68E-06	3.81E-06	1.67E-06	3.50E-06
RER1	0.000213349	0.000189027	0.000225967	0.000259827	0.000269937	0.000192782	0.000240961	0.000251566	0.000261632
PEX10	1.70E-05	3.37E-05	2.81E-05	3.66E-05	4.03E-05	3.24E-05	3.15E-05	3.23E-05	2.98E-05
PANK4	8.63E-06	1.60E-05	1.35E-05	1.39E-05	1.37E-05	1.08E-05	9.83E-06	1.04E-05	1.42E-05
HES5	1.00E-08	1.09E-07	1.00E-08	5.26E-07	1.46E-06	3.78E-07	1.00E-08	1.00E-08	1.00E-08
TNFRSF14	0.00019233	0.000205692	0.000170994	0.000239763	0.000223649	0.000203601	0.000193263	0.000283124	0.000214045
MMEL1	2.14E-06	2.20E-06	1.82E-06	2.27E-06	2.44E-06	3.04E-06	3.09E-06	1.66E-06	2.03E-06
MEGF6	2.86E-06	9.60E-06	7.25E-06	1.08E-05	4.89E-06	8.11E-06	4.29E-06	1.74E-06	1.86E-06
TPRG1L	7.72E-06	1.83E-05	1.03E-05	1.70E-05	1.23E-05	7.60E-06	1.42E-05	9.61E-06	1.46E-05
WRAP73	1.64E-05	3.61E-05	2.49E-05	3.42E-05	3.39E-05	3.34E-05	3.28E-05	2.06E-05	3.37E-05
SMIM1	5.83E-06	1.06E-05	1.24E-05	1.48E-05	1.30E-05	1.80E-05	1.08E-05	3.90E-06	9.41E-06
LRRC47	1.29E-05	4.28E-05	2.07E-05	3.63E-05	3.40E-05	3.30E-05	2.58E-05	2.63E-05	2.92E-05
CEP104	2.53E-05	3.57E-05	2.85E-05	2.87E-05	3.21E-05	3.45E-05	2.93E-05	2.49E-05	2.47E-05
DFFB	2.43E-06	6.78E-06	3.90E-06	5.08E-06	4.53E-06	5.61E-06	2.44E-06	1.02E-06	5.70E-06
C1orf174	1.43E-05	4.38E-05	3.38E-05	4.28E-05	4.67E-05	4.63E-05	3.90E-05	2.99E-05	3.84E-05
NPHP4	1.10E-05	1.17E-05	9.66E-06	9.09E-06	5.60E-06	7.63E-06	1.16E-05	9.18E-06	8.39E-06
KCNAB2	0.000175548	0.000113314	0.000111822	0.000127281	0.000112431	0.000100991	0.00018109	0.000138697	0.00020298
RNF207	3.54E-07	1.03E-06	4.91E-07	4.32E-07	5.64E-07	9.72E-07	1.00E-08	1.34E-06	1.04E-06
ICMT	8.00E-06	2.39E-05	1.48E-05	3.26E-05	3.21E-05	1.97E-05	1.68E-05	2.10E-05	2.48E-05
GPR153	9.61E-07	1.19E-06	2.87E-07	1.40E-06	9.77E-07	4.35E-07	7.40E-07	1.46E-06	6.35E-07
ACOT7	3.49E-06	1.50E-05	1.02E-05	2.14E-05	2.19E-05	7.67E-06	7.23E-06	1.97E-05	1.76E-05
TNFRSF25	1.15E-06	3.04E-05	1.82E-06	6.92E-06	7.90E-07	1.78E-06	8.02E-07	2.84E-06	1.59E-06
PLEKHG5	1.00E-08	5.10E-05	2.17E-07	1.27E-05	5.96E-07	2.26E-06	1.00E-08	1.00E-08	2.30E-07
NOL9	1.63E-05	2.93E-05	1.77E-05	2.40E-05	2.50E-05	2.32E-05	2.32E-05	2.69E-05	2.00E-05
ZBTB48	1.87E-05	2.96E-05	1.97E-05	2.73E-05	2.29E-05	2.09E-05	1.66E-05	2.29E-05	2.43E-05
KLHL21	9.99E-05	5.59E-05	0.000103998	5.92E-05	2.76E-05	6.34E-05	5.20E-05	6.45E-05	8.73E-05
PHF13	7.63E-06	9.43E-06	1.09E-05	1.12E-05	9.17E-06	8.67E-06	8.16E-06	1.02E-05	1.26E-05
THAP3	9.33E-06	1.66E-05	9.99E-06	1.78E-05	1.67E-05	9.00E-06	1.07E-05	1.40E-05	1.88E-05
DNAJC11	1.62E-05	2.73E-05	1.87E-05	2.90E-05	3.00E-05	2.64E-05	2.99E-05	2.30E-05	2.32E-05
CAMTA1	0.000159842	0.000156667	0.00019755	0.000184575	0.000187186	0.000161002	0.000194132	0.00020592	0.000185321
VAMP3	0.00016168	0.000167949	0.000161775	0.000184441	0.000165714	0.000143217	0.000133038	0.0001506	0.000209879
PER3	3.09E-06	4.64E-05	1.03E-05	3.62E-05	2.37E-05	2.69E-05	1.07E-05	9.98E-06	1.06E-05
UTS2	2.96E-05	1.73E-05	3.80E-05	3.10E-05	2.62E-05	1.93E-05	2.33E-05	1.34E-05	4.52E-05
TNFRSF9	1.88E-05	6.01E-06	3.82E-05	1.67E-05	9.41E-06	7.05E-06	7.41E-06	2.53E-05	2.59E-05
PARK7	0.000428891	0.000341995	0.00042602	0.00043762	0.000508686	0.000405376	0.000524244	0.000516221	0.000450129
ERRFI1	5.51E-05	5.08E-05	9.16E-05	8.01E-05	3.01E-05	4.56E-05	2.92E-05	4.95E-05	0.000130468
SLC45A1	9.35E-07	1.22E-06	2.09E-06	2.37E-06	1.40E-06	1.33E-06	3.52E-07	1.94E-06	3.93E-06
RERE	5.01E-05	0.000117824	5.02E-05	7.04E-05	5.23E-05	7.26E-05	5.18E-05	5.34E-05	4.62E-05
ENO1	0.000838075	0.000476771	0.000713747	0.000598035	0.000681328	0.000454085	0.000670806	0.000895413	0.000995863
SLC2A5	4.50E-06	1.94E-05	9.19E-06	4.72E-05	4.78E-05	3.20E-05	1.44E-05	1.73E-05	0.000189676
GPR157	4.62E-05	1.30E-05	7.35E-05	2.39E-05	4.05E-05	3.31E-05	4.40E-05	4.30E-05	2.29E-05
H6PD	3.28E-05	4.24E-05	1.97E-05	2.90E-05	3.53E-05	4.17E-05	4.05E-05	2.99E-05	3.68E-05
SPSB1	6.37E-05	7.91E-06	2.28E-05	1.79E-05	1.60E-05	1.91E-05	1.36E-05	3.85E-05	3.47E-05
SLC25A33	8.34E-05	0.000124223	0.000123212	8.47E-05	0.000122607	0.000173879	0.000131333	9.99E-05	0.000105441
TMEM201	1.93E-06	8.38E-06	4.94E-06	7.27E-06	3.78E-06	7.60E-06	4.75E-06	6.02E-06	3.67E-06
PIK3CD	4.52E-05	3.82E-05	3.73E-05	4.15E-05	3.11E-05	4.02E-05	3.11E-05	5.36E-05	2.53E-05
CLSTN1	4.21E-05	5.17E-05	6.65E-05	5.63E-05	4.77E-05	5.01E-05	5.40E-05	4.50E-05	5.37E-05
CTNNBIP1	8.43E-05	6.50E-05	8.32E-05	8.42E-05	9.16E-05	6.99E-05	0.000112272	6.94E-05	7.12E-05
LZIC	5.84E-05	5.62E-05	5.81E-05	6.33E-05	7.48E-05	6.26E-05	6.67E-05	6.30E-05	7.04E-05
NMNAT1	6.39E-06	1.60E-05	7.68E-06	1.36E-05	1.62E-05	1.12E-05	1.24E-05	1.17E-05	9.26E-06
RBP7	0.000232101	4.07E-05	1.41E-05	3.89E-05	2.21E-05	2.44E-05	5.97E-05	3.44E-05	5.72E-05
UBE4B	3.26E-05	4.28E-05	3.19E-05	3.61E-05	3.35E-05	3.21E-05	3.78E-05	3.38E-05	3.77E-05
KIF1B	0.000120423	0.000134156	8.90E-05	0.000122399	5.43E-05	7.14E-05	8.62E-05	8.63E-05	0.000127096
PGD	0.000424585	0.000175716	0.00026433	0.000240786	0.000235882	0.000174273	0.000201444	0.000333169	0.000372712
DFFA	2.10E-05	3.38E-05	2.67E-05	3.81E-05	3.84E-05	3.08E-05	3.21E-05	3.26E-05	3.87E-05
PEX14	6.71E-06	1.49E-05	1.08E-05	1.83E-05	2.21E-05	1.55E-05	1.22E-05	1.25E-05	1.48E-05
CASZ1	3.37E-06	1.90E-06	4.00E-06	3.08E-06	9.77E-07	1.73E-06	1.91E-06	8.14E-06	3.45E-06
C1orf127	5.47E-07	3.50E-06	4.91E-07	4.74E-06	2.97E-06	2.11E-06	1.07E-06	1.00E-08	5.77E-07
TARDBP	5.56E-05	9.25E-05	5.25E-05	7.34E-05	6.55E-05	5.50E-05	5.99E-05	5.48E-05	6.35E-05
SRM	9.65E-05	7.63E-05	4.99E-05	0.000101151	0.000144906	8.53E-05	0.000131364	0.000140323	0.000125458
EXOSC10	3.07E-05	5.45E-05	3.66E-05	5.50E-05	5.08E-05	4.96E-05	4.35E-05	3.68E-05	4.49E-05
MTOR	3.14E-05	3.52E-05	3.01E-05	3.41E-05	3.65E-05	3.30E-05	4.65E-05	2.57E-05	2.54E-05
UBIAD1	1.23E-05	2.71E-05	1.79E-05	2.53E-05	3.15E-05	2.34E-05	1.99E-05	2.15E-05	2.50E-05
FBXO2	2.51E-07	1.04E-07	4.28E-07	3.32E-07	1.56E-07	1.35E-07	1.00E-08	7.01E-07	1.44E-07
FBXO44	5.53E-06	1.68E-05	1.33E-05	1.68E-05	1.34E-05	1.55E-05	1.14E-05	7.83E-06	1.15E-05
FBXO6	3.63E-05	2.75E-05	4.68E-05	4.89E-05	3.83E-05	2.06E-05	3.05E-05	0.000152003	4.21E-05
MAD2L2	9.58E-05	5.99E-05	9.18E-05	7.79E-05	7.88E-05	6.32E-05	8.31E-05	0.000135422	9.32E-05
DRAXIN	1.11E-06	5.67E-07	1.99E-06	1.25E-06	1.73E-06	5.22E-07	1.00E-08	7.09E-07	1.36E-06
AGTRAP	0.000333074	0.000136526	0.000146077	0.000151944	0.000151115	0.000104305	0.000203292	0.000301488	0.000242238
MTHFR	5.50E-05	5.46E-05	3.69E-05	4.52E-05	3.24E-05	3.15E-05	2.80E-05	5.43E-05	3.54E-05
CLCN6	2.36E-05	5.21E-05	2.08E-05	3.24E-05	2.89E-05	2.78E-05	2.71E-05	2.85E-05	2.45E-05
KIAA2013	2.09E-05	3.86E-05	1.36E-05	4.54E-05	2.54E-05	1.55E-05	2.33E-05	2.24E-05	3.00E-05
