	Macro.c08.NLRP3	Macro.c07.LYVE1	Macro.c05.INHBA	Macro.c01.C1QC	Macro.c03.GPNMB	Macro.c04.IL1B	Macro.c02.FN1	Macro.c06.ISG15	Macro.c09.SPP1
A1BG	0.138836941	0.135841674	0.130522365	0.159291574	0.206624221	0.183208796	0.243621585	0.144494204	0.168377167
A2M	0.021518634	1.028014601	0.332029014	1.067445235	1.265568662	1.114247919	0.492617505	0.145947729	0.377719077
A4GALT	0	0	0.000605252	0.000392411	0.00136448	0.000736207	0.001976517	0	0.001927733
AAAS	0.034052356	0.06530595	0.050926856	0.067097922	0.074819688	0.061765196	0.056622208	0.047130763	0.061808377
AACS	0.025512302	0.021350633	0.023889161	0.021551093	0.021351535	0.021099816	0.020103208	0.027562044	0.027176883
AAGAB	0.04988784	0.058349885	0.054919158	0.06081979	0.059478058	0.054516638	0.039606029	0.069054343	0.053206391
AAK1	0.215386318	0.289232842	0.149536973	0.227167079	0.167321094	0.144127086	0.130255499	0.155364927	0.155215969
AAMDC	0.059232563	0.078206368	0.070844462	0.11852697	0.116621252	0.096191257	0.086494335	0.072726322	0.095163947
AAMP	0.139893663	0.222680261	0.175266577	0.226147634	0.223897195	0.208897731	0.197227759	0.278122401	0.229985569
AANAT	0	0	0	0	0.001629395	0.000977688	0.001608834	0	0
AAR2	0.033436426	0.05493589	0.037309376	0.049195556	0.064815795	0.040878136	0.049977517	0.062296375	0.054447074
AARD	0	0	0	0	0	0	0	0	0
AARS2	0.005019251	0.018166743	0.02158305	0.031502299	0.021106712	0.017296685	0.010950669	0.011174564	0.016362393
AARSD1	0.028863779	0.061967497	0.036399962	0.063202562	0.087540473	0.055058267	0.05731909	0.068943095	0.052183694
AASDH	0.012951023	0.038116071	0.018233148	0.031574695	0.029250628	0.031859817	0.023165229	0.015953687	0.022531379
AASDHPPT	0.0547328	0.114669705	0.092240569	0.122806832	0.13800639	0.116140907	0.109101895	0.096322318	0.106691061
AASS	0.00177496	0.012746964	0.003740409	0.004093527	0.001893834	0.004125844	0.001248624	0.001092568	0.000433713
AATBC	0.010239299	0.005069322	0.001538251	0.005447437	0.005136841	0.003050172	0.003188027	0.010084038	0.003357644
AATF	0.167916982	0.151210491	0.145307058	0.156870281	0.199022477	0.164651645	0.203491983	0.233321885	0.190965001
AATK	0.036019671	0.006107457	0.009283837	0.021757973	0.004143162	0.00293894	0.014752889	0.013358757	0.023509538
ABALON	0.002537882	0.004574239	0.007496505	0.006121915	0.008325336	0.005958246	0.002902839	0.000800056	0.003022235
ABAT	0.015614929	0.017539664	0.023429344	0.020639022	0.020578694	0.020606495	0.015719038	0.016364328	0.012818561
ABCA1	0.510410203	0.595852231	0.544488464	0.642438367	0.469814561	0.599477949	0.508792636	0.551488102	0.69756618
ABCA10	0.00024645	0	0.000993345	0.000112891	0.000486822	0	0.000435433	0	0
ABCA2	0.009765572	0.019792213	0.010831603	0.015338855	0.011598397	0.015440558	0.014639963	0.009763883	0.016264677
ABCA3	0.0021788	0.008582184	0.003461623	0.008006763	0.005406687	0.005497623	0.003342033	0.00367338	0.003617048
ABCA5	0.010057279	0.010870316	0.022841216	0.01600518	0.013304275	0.01403486	0.007341753	0.002373932	0.011239588
ABCA6	0.005824985	0.088231974	0.00947117	0.010186388	0.002079707	0.003196954	0.002084312	0.011592836	0.018016475
ABCA7	0.042759908	0.03512644	0.030690576	0.042048311	0.025071001	0.025415402	0.020381726	0.020512862	0.016251921
ABCA8	0	0.000734825	0	0.000197741	0.000828619	0.000638736	0	0	0
ABCA9	0.000590499	0.008148649	0.000278841	0.001408222	0	0.000278879	0	0	0.000223689
ABCB1	0.000748992	0.004057626	0.002948991	0.003822792	0.00722347	0.004227711	0.002843408	0.005173411	0.001319718
ABCB10	0.015027317	0.024921675	0.01241787	0.024818944	0.046316502	0.034691612	0.030880607	0.01267029	0.019064535
ABCB4	0.001289934	0.014646878	0.013803673	0.018714723	0.018079961	0.020990492	0.008114538	0.008043956	0.00230486
ABCB6	0.000897779	0.000896959	0	0.001548152	0.001344226	0.000777057	0.000391054	0	0.001419738
ABCB7	0.053176722	0.090596629	0.070566429	0.087432724	0.112702114	0.103398707	0.086229955	0.077722994	0.080869054
ABCB8	0.034253975	0.043712027	0.046823357	0.060401101	0.057240977	0.041411576	0.050493918	0.070221521	0.052141432
ABCB9	0.005611415	0.003514668	0.004582343	0.003968766	0.003162039	0.003470036	0.002833599	0.005025216	0.00276129
ABCC1	0.065079572	0.075468239	0.050544434	0.063602905	0.056356732	0.044779776	0.055200851	0.055019815	0.050666554
ABCC10	0.012878717	0.026929267	0.012449734	0.030435013	0.02162902	0.017420309	0.020997184	0.019338413	0.018332922
ABCC11	0.00249012	0.000611887	0.000872449	0.000634146	0.000485335	0.000847889	0	0.000795029	0.000422127
ABCC2	0.000161864	0.001873839	0.000228264	0.000173451	0.000232324	0.000717793	0.000350607	0	0
ABCC3	0.035597041	0.065402693	0.034519046	0.110743396	0.072130965	0.064565678	0.072693539	0.032327981	0.143807872
ABCC4	0.008752271	0.056946083	0.093078809	0.071283972	0.093419086	0.108101773	0.048353968	0.028992778	0.014810751
ABCC5	0.024954331	0.139149586	0.038589203	0.170089294	0.142390895	0.102279251	0.038490722	0.034372161	0.043406499
ABCC6	0.009140299	0.002928669	0.015417944	0.008917337	0.013602868	0.015942397	0.023479783	0.002634927	0.01367628
ABCC9	0	0.000281959	0	0.000203119	0	0.000192844	0.000369903	0	0
ABCD1	0.064633687	0.065799083	0.081480413	0.098053721	0.08956618	0.070904713	0.085649467	0.091112204	0.094645249
