	Macro.c01.C1QC	Macro.c02.FN1	Macro.c03.GPNMB	Macro.c04.IL1B	Macro.c05.INHBA	Macro.c06.ISG15	Macro.c07.LYVE1	Macro.c08.NLRP3	Macro.c09.SPP1
RP11.34P13.7	0.000124544	0	0	0	0	0	0.002249495	0.000113433	0
FO538757.2	0.21500486	0.129440508	0.150101062	0.144606996	0.200575823	0.213149382	0.273386071	0.192407806	0.18151717
AP006222.2	0.003167648	0.000534971	0.002230749	0.001539133	0.003024756	0.000761538	0.003923019	0.005236685	0.003311164
RP4.669L17.10	0.002550552	0.001492652	0.000684917	0.002224085	0.005378369	0	0.003928814	0.008234526	0.001086168
RP11.206L10.9	0.006228864	0.002627887	0.002814457	0.003418158	0.007244072	0.003451617	0.008791168	0.006085791	0.002927969
FAM87B	0.002091941	0.000758951	0.000512595	0.001012497	0.005258359	0	0.001964927	0.000362512	0.000585557
LINC00115	0.024760067	0.012525621	0.018406747	0.021005836	0.0365842	0.01964248	0.028303666	0.016214454	0.023775784
NOC2L	0.10369673	0.134391028	0.128014472	0.102816495	0.101831139	0.11974205	0.101240933	0.100786605	0.112660282
KLHL17	0.007234283	0.003375858	0.004013283	0.00250663	0.009191126	0.003720015	0.01057079	0.003832453	0.009054319
PLEKHN1	0.002035233	0.001626488	0.0008374	0.000171062	0.006412321	0.005892472	0.000785132	0.003474323	0.006791753
RP11.54O7.17	0.025243286	0.012019651	0.007205622	0.008575302	0.03451523	0.011987285	0.01505533	0.012844402	0.010090031
HES4	0.229093488	0.326328291	0.291150186	0.335325867	0.396232114	0.409284548	0.151177793	0.264000247	0.110363932
ISG15	0.648120034	0.469468547	0.453967321	0.344472534	0.953283373	1.422583646	0.263821005	0.447383308	0.601570928
RP11.54O7.11	0.003266475	0.000413523	0.00156493	0.001186765	0.011720873	0.002562371	0.001166022	0.001768672	0.000116994
AGRN	0.039317386	0.013868981	0.013460015	0.00906038	0.023765909	0.035679299	0.027784555	0.013419407	0.040413029
RP11.54O7.18	0.000124792	0.000338855	0.000226197	0	0.002250906	0.001532501	0.000520073	0.00128397	0.000933049
C1orf159	0.016206702	0.010294365	0.015661073	0.015697467	0.009341359	0.016144627	0.024363408	0.012866306	0.015354467
TTLL10	5.02E-05	0	0	0	0	0	0	0	0
TNFRSF18	0.01842644	0.015804249	0.030590578	0.014967092	0.059241606	0.035309765	0.006171347	0.011707578	0.014102878
TNFRSF4	0.053852591	0.036392914	0.070939515	0.053562185	0.071044571	0.098020976	0.029450659	0.017522687	0.018487272
SDF4	0.424969964	0.40979654	0.426194569	0.34552579	0.404742828	0.499095428	0.371217473	0.377453318	0.500743402
B3GALT6	0.057958659	0.114575258	0.111472345	0.086510123	0.033925027	0.075670576	0.061778167	0.052856597	0.044762601
FAM132A	0.00045095	0.000301481	0.000438143	0.000981388	0.000453098	0.002005536	0.000934763	0.002417428	0.001699631
UBE2J2	0.133188332	0.13151401	0.137115614	0.108967238	0.11663162	0.131907351	0.125108406	0.12560734	0.156908961
SCNN1D	0.004902864	0.000290248	0.001046147	0.002556854	0.003525565	0	0.006004952	0.002889001	0.000827825
ACAP3	0.037538801	0.023212669	0.014575347	0.022910898	0.01996291	0.023674657	0.039704214	0.040632484	0.031019695
