	NK.c06.CD56brightCD16lo.CREM	NK.c04.CD56brightCD16lo.CCL3	NK.c05.CD56brightCD16lo.IL7R	NK.c03.CD56brightCD16lo.IL7R.RGS1lo	NK.c02.CD56brightCD16lo.GZMH	NK.c13.CD56dimCD16hi.NR4A3	NK.c12.CD56dimCD16hi.DNAJB1	NK.c10.CD56dimCD16hi.NFKBIA	NK.c07.CD56dimCD16hi.IL32	NK.c08.CD56dimCD16hi.CX3CR1	NK.c01.CD56brightCD16hi	NK.c09.CD56dimCD16hi.ZNF90	NK.c11.CD56dimCD16hi.MKI67
SAMD11	4.85E-07	1.00E-08	1.00E-08	1.00E-08	1.00E-08	8.07E-08	1.49E-07	7.75E-07	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08
NOC2L	6.66E-05	9.88E-05	9.67E-05	9.19E-05	0.000112013	6.14E-05	5.27E-05	5.81E-05	6.31E-05	5.27E-05	7.17E-05	9.19E-05	3.98E-05
KLHL17	3.33E-06	6.39E-06	1.00E-08	1.15E-05	1.02E-05	1.57E-06	2.79E-06	5.36E-06	1.00E-08	7.53E-06	2.39E-05	1.00E-08	3.63E-06
PLEKHN1	5.71E-06	6.39E-06	1.38E-05	1.00E-08	1.00E-08	4.34E-07	4.26E-07	1.00E-08	4.22E-06	1.00E-08	1.20E-05	1.00E-08	3.63E-06
PERM1	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.02E-05	1.00E-08	2.88E-07	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08
HES4	4.45E-05	9.57E-06	1.00E-08	1.00E-08	1.00E-08	4.80E-05	0.000153091	1.53E-05	8.43E-06	1.13E-05	1.00E-08	1.53E-05	2.17E-05
ISG15	0.000326081	0.000153039	8.28E-05	0.000218188	0.000152742	0.000265229	0.000287713	0.000233331	0.000210463	0.000201241	2.39E-05	0.000153101	0.000155631
AGRN	4.13E-06	1.60E-06	1.00E-08	1.00E-08	1.00E-08	1.07E-06	1.26E-06	3.83E-06	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08
C1orf159	6.34E-06	6.39E-06	1.00E-08	2.30E-05	1.00E-08	9.13E-06	1.24E-05	1.45E-05	4.22E-06	1.69E-05	1.20E-05	1.53E-05	7.25E-06
TTLL10	7.29E-06	7.98E-06	2.07E-05	4.59E-05	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.20E-05	1.00E-08	1.00E-08
TNFRSF18	0.000614796	0.000514889	0.000566044	0.000838274	0.000203653	7.18E-05	7.07E-05	7.57E-05	5.89E-05	4.70E-05	0.000143329	7.66E-05	0.000112202
TNFRSF4	9.26E-05	5.58E-05	8.97E-05	0.000769376	7.13E-05	3.51E-05	2.89E-05	1.99E-05	1.26E-05	1.32E-05	4.78E-05	1.53E-05	1.09E-05
SDF4	0.000222245	0.000219989	0.000262319	0.000183739	0.000162924	0.000284951	0.000240387	0.00027464	0.000315689	0.000327245	0.000203045	0.000443973	0.000217156
B3GALT6	3.17E-05	1.75E-05	2.76E-05	1.15E-05	2.04E-05	3.18E-05	2.43E-05	2.07E-05	2.11E-05	3.01E-05	3.58E-05	6.12E-05	1.81E-05
UBE2J2	5.78E-05	5.90E-05	8.97E-05	0.000103358	0.000101831	6.14E-05	5.90E-05	7.80E-05	8.84E-05	7.34E-05	8.36E-05	1.53E-05	7.24E-05
SCNN1D	4.85E-07	1.00E-08	1.00E-08	1.00E-08	1.00E-08	4.34E-07	4.26E-07	1.00E-08	4.22E-06	3.77E-06	1.20E-05	1.00E-08	1.00E-08
ACAP3	1.03E-05	1.44E-05	1.38E-05	1.15E-05	1.02E-05	1.10E-05	8.61E-06	1.53E-05	2.11E-05	1.32E-05	2.39E-05	1.00E-08	2.17E-05
PUSL1	1.90E-05	1.60E-05	2.07E-05	1.15E-05	2.04E-05	2.15E-05	1.40E-05	9.95E-06	1.26E-05	2.45E-05	3.58E-05	3.06E-05	1.81E-05
CPTP	1.57E-05	1.12E-05	3.45E-05	2.30E-05	1.02E-05	1.61E-05	1.78E-05	2.37E-05	3.37E-05	1.88E-05	1.20E-05	1.53E-05	2.90E-05
TAS1R3	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	2.22E-07	2.88E-07	7.75E-07	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08
DVL1	3.02E-06	3.20E-06	1.00E-08	1.15E-05	1.02E-05	2.55E-06	2.09E-06	2.30E-06	8.43E-06	5.65E-06	1.00E-08	1.00E-08	1.00E-08
MXRA8	3.27E-07	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.49E-07	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08
AURKAIP1	0.000215913	0.000178544	0.000227804	0.000206705	0.000183288	0.000217303	0.000190563	0.000191257	0.000256762	0.000201241	7.17E-05	0.000367427	0.000390872
CCNL2	6.78E-05	9.57E-05	4.83E-05	0.000114841	8.15E-05	6.84E-05	5.65E-05	8.19E-05	7.16E-05	0.000110969	0.000203045	6.12E-05	4.71E-05
VWA1	1.68E-07	1.60E-06	1.00E-08	1.00E-08	1.00E-08	8.07E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08
ATAD3C	4.13E-06	7.98E-06	1.00E-08	1.00E-08	1.00E-08	2.34E-06	2.09E-06	1.54E-06	1.00E-08	1.89E-06	1.00E-08	1.00E-08	1.00E-08
ATAD3B	1.82E-05	2.23E-05	3.45E-05	5.74E-05	1.02E-05	1.49E-05	1.25E-05	1.30E-05	8.43E-06	5.65E-06	4.78E-05	1.00E-08	3.26E-05
ATAD3A	1.82E-05	1.75E-05	2.07E-05	1.00E-08	3.06E-05	1.57E-05	1.57E-05	1.61E-05	8.43E-06	1.51E-05	1.20E-05	1.00E-08	5.79E-05
SSU72	0.000187422	0.000248682	0.000234707	0.000229671	0.000213835	0.000216738	0.000177378	0.00026393	0.000328316	0.00025578	0.000298591	0.000352118	0.000177346
MIB2	6.27E-05	9.09E-05	6.21E-05	5.74E-05	9.16E-05	9.44E-05	8.44E-05	0.000109403	0.000101027	0.000101566	9.56E-05	0.000107173	3.26E-05
MMP23B	2.09E-05	3.51E-05	1.38E-05	1.00E-08	6.11E-05	6.78E-05	6.76E-05	6.89E-05	9.68E-05	7.90E-05	3.58E-05	9.19E-05	1.45E-05
CDK11B	6.92E-05	0.000106812	9.67E-05	9.19E-05	0.00014256	7.39E-05	6.12E-05	5.36E-05	6.31E-05	9.22E-05	0.000203045	9.19E-05	7.60E-05
SLC35E2B	3.07E-05	5.58E-05	1.38E-05	8.04E-05	7.13E-05	3.90E-05	2.65E-05	3.14E-05	5.47E-05	4.89E-05	0.000119443	9.19E-05	1.45E-05
CDK11A	5.70E-05	7.17E-05	8.28E-05	3.45E-05	0.000101831	6.97E-05	5.30E-05	6.20E-05	5.47E-05	6.02E-05	0.000179159	6.12E-05	6.15E-05
NADK	3.06E-05	3.19E-05	2.76E-05	5.74E-05	4.07E-05	3.71E-05	4.30E-05	4.21E-05	2.11E-05	5.08E-05	5.97E-05	4.59E-05	3.98E-05
GNB1	8.50E-05	8.77E-05	6.21E-05	8.04E-05	6.11E-05	0.000100103	7.41E-05	8.11E-05	8.84E-05	8.65E-05	0.000179159	0.000122482	0.000101345
CALML6	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.51E-07	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08
TMEM52	3.27E-07	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.14E-06	1.54E-06	7.75E-07	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08
