	NK.c06.CD56brightCD16lo.CREM	NK.c04.CD56brightCD16lo.CCL3	NK.c05.CD56brightCD16lo.IL7R	NK.c03.CD56brightCD16lo.IL7R.RGS1lo	NK.c02.CD56brightCD16lo.GZMH	NK.c13.CD56dimCD16hi.NR4A3	NK.c12.CD56dimCD16hi.DNAJB1	NK.c10.CD56dimCD16hi.NFKBIA	NK.c07.CD56dimCD16hi.IL32	NK.c08.CD56dimCD16hi.CX3CR1	NK.c01.CD56brightCD16hi	NK.c09.CD56dimCD16hi.ZNF90	NK.c11.CD56dimCD16hi.MKI67
A1BG	0.198423737	0.117302053	0.090909091	0.142857143	0.133333333	0.028576469	0.033448674	0.030418251	0.033898305	0.044247788	0.012987013	0.037735849	0.047619048
A1BG-AS1	0.031525267	0.014662757	0	0.023809524	0.044444444	0.004233551	0.00615148	0.007604563	0.016949153	0.008849558	0.012987013	0.018867925	0
A1CF	0	0	0	0	0	0.000176398	0	0	0	0	0	0	0
A2M	0.001390821	0	0	0	0	0.002645969	0.00461361	0.005703422	0	0.004424779	0.012987013	0	0
A2M-AS1	0.001854427	0.017595308	0	0	0	0.007232316	0.014225298	0.009505703	0.008474576	0.017699115	0.090909091	0	0
A2ML1	0	0	0	0	0	0	0	0	0	0	0	0	0
A2ML1-AS1	0	0	0	0	0	0.000176398	0	0	0	0	0	0	0
A3GALT2	0	0	0	0	0	0	0	0.001901141	0	0	0	0	0
A4GALT	0.002781641	0.002932551	0	0	0	0.000176398	0	0	0	0	0	0	0
A4GNT	0	0	0	0	0	0	0	0	0	0	0	0	0
AAAS	0.067686602	0.061583578	0.121212121	0.047619048	0.066666667	0.055565355	0.07112649	0.098859316	0.042372881	0.110619469	0.038961039	0.037735849	0.357142857
AACS	0.076958739	0.029325513	0	0.047619048	0.088888889	0.033868407	0.035371011	0.017110266	0.016949153	0.017699115	0.038961039	0	0.071428571
AADAC	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACL2	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACL2-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACL4	0	0	0	0	0	0	0	0	0	0	0	0	0
AADAT	0.000463607	0	0	0	0	0	0	0	0	0	0	0	0
AAGAB	0.133055169	0.102639296	0.196969697	0.214285714	0.2	0.110072323	0.119953864	0.129277567	0.144067797	0.194690265	0.12987013	0.150943396	0.30952381
AAK1	0.420491423	0.387096774	0.46969697	0.428571429	0.311111111	0.472040924	0.38177624	0.465779468	0.43220339	0.451327434	0.597402597	0.188679245	0.904761905
AAMDC	0.030134446	0.032258065	0.03030303	0.047619048	0.022222222	0.028400071	0.048827374	0.02851711	0.059322034	0.017699115	0.012987013	0	0.261904762
AAMP	0.306444135	0.146627566	0.151515152	0.119047619	0.377777778	0.264596931	0.258362168	0.311787072	0.203389831	0.300884956	0.064935065	0.132075472	0.857142857
AANAT	0	0	0	0	0	0.000529194	0	0	0	0	0	0	0
AAR2	0.108947612	0.061583578	0.075757576	0.071428571	0.044444444	0.086964191	0.076124567	0.102661597	0.06779661	0.084070796	0.064935065	0.056603774	0.238095238
AARD	0.000927214	0	0	0	0	0.008467102	0.00461361	0.009505703	0	0.013274336	0	0	0.023809524
AARS2	0.019471488	0.020527859	0.045454545	0.023809524	0.022222222	0.019580173	0.017685506	0.032319392	0.033898305	0.03539823	0.064935065	0	0
AARSD1	0.108020399	0.093841642	0.090909091	0.023809524	0.088888889	0.085023814	0.092272203	0.081749049	0.084745763	0.061946903	0.051948052	0.037735849	0.285714286
AASDH	0.03987019	0.046920821	0.090909091	0.095238095	0.022222222	0.034750397	0.044598231	0.045627376	0.084745763	0.053097345	0.038961039	0.018867925	0.095238095
AASDHPPT	0.241075568	0.149560117	0.227272727	0.238095238	0.288888889	0.185394249	0.201076509	0.235741445	0.169491525	0.234513274	0.142857143	0.150943396	0.69047619
AASS	0.003245248	0.002932551	0.015151515	0.047619048	0	0.003351561	0.002306805	0.001901141	0.008474576	0.004424779	0	0	0
AATBC	0	0	0	0	0	0	0	0	0	0	0	0	0
AATF	0.266573945	0.187683284	0.212121212	0.119047619	0.288888889	0.262127359	0.260668973	0.207224335	0.220338983	0.207964602	0.142857143	0.075471698	0.857142857
AATK	0.003245248	0.011730205	0	0	0.022222222	0.002293173	0.004998078	0.005703422	0	0	0	0	0
ABALON	0.001390821	0.008797654	0.015151515	0	0.022222222	0.003527959	0.004998078	0.005703422	0	0.004424779	0	0	0
ABAT	0.016689847	0.008797654	0	0	0.022222222	0.024342918	0.019223376	0.02661597	0.008474576	0.004424779	0	0.018867925	0
ABCA1	0.03245248	0.070381232	0	0.428571429	0.066666667	0.002645969	0.00615148	0.003802281	0	0	0.12987013	0	0
ABCA10	0.000463607	0	0	0	0	0.001058388	0.000384468	0	0	0	0	0	0
ABCA12	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCA13	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCA2	0.118683357	0.149560117	0.106060606	0.047619048	0.044444444	0.099312048	0.08804306	0.091254753	0.06779661	0.132743363	0.12987013	0.037735849	0.166666667
ABCA3	0.00741771	0.020527859	0	0.071428571	0	0.010054683	0.0153787	0.009505703	0.016949153	0.004424779	0.025974026	0	0.023809524
ABCA4	0	0	0	0	0	0.000352796	0.000384468	0	0	0	0	0	0
ABCA5	0.044042652	0.04398827	0	0.023809524	0.066666667	0.036161581	0.041906959	0.043726236	0.059322034	0.084070796	0.103896104	0	0.023809524
ABCA6	0	0	0	0	0	0.000529194	0.000384468	0	0	0	0	0	0
ABCA7	0.059341678	0.070381232	0.045454545	0.071428571	0.111111111	0.035103193	0.039600154	0.02661597	0.016949153	0.048672566	0.103896104	0.018867925	0.023809524
ABCA8	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCA9	0	0	0	0	0	0	0.000768935	0	0	0	0	0	0
ABCA9-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCB1	0.411219286	0.357771261	0.181818182	0.380952381	0.422222222	0.185570647	0.181084198	0.176806084	0.101694915	0.146017699	0.402597403	0.188679245	0.119047619
ABCB10	0.034306908	0.026392962	0.045454545	0.047619048	0	0.016228612	0.018454441	0.009505703	0.025423729	0.026548673	0.051948052	0.018867925	0.095238095
ABCB11	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCB4	0.000927214	0	0	0	0	0	0	0	0	0	0	0	0
ABCB5	0.000927214	0	0	0.047619048	0	0	0	0	0	0	0	0	0
ABCB6	0.001390821	0.002932551	0	0	0	0.001058388	0.001922338	0.001901141	0	0	0	0	0.023809524
ABCB7	0.104311544	0.143695015	0.121212121	0.214285714	0.155555556	0.095078497	0.097654748	0.108365019	0.084745763	0.115044248	0.077922078	0.037735849	0.142857143
ABCB8	0.07232267	0.055718475	0.106060606	0.047619048	0.044444444	0.069147998	0.071510957	0.098859316	0.050847458	0.061946903	0.077922078	0.018867925	0.166666667
ABCB9	0.009735744	0.002932551	0	0.023809524	0	0.006526724	0.005767013	0.005703422	0.008474576	0	0	0	0.023809524
ABCC1	0.150208623	0.085043988	0.136363636	0.238095238	0.066666667	0.050097019	0.06189927	0.053231939	0.050847458	0.053097345	0.12987013	0.056603774	0.047619048
ABCC10	0.035697728	0.023460411	0	0.071428571	0.022222222	0.037396366	0.036908881	0.051330798	0.059322034	0.03539823	0.038961039	0	0.047619048
ABCC11	0.000463607	0	0	0	0	0.000705592	0	0	0	0	0	0	0
ABCC12	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCC2	0.000927214	0	0	0	0	0.001058388	0	0	0	0	0	0	0
ABCC3	0.000463607	0	0	0	0	0	0.001153403	0	0	0	0	0	0
ABCC4	0.025498377	0.023460411	0.075757576	0.023809524	0.022222222	0.017463397	0.016916571	0.022813688	0.008474576	0.022123894	0.051948052	0	0.071428571
ABCC5	0.03106166	0.04398827	0.015151515	0.071428571	0.088888889	0.040218733	0.046136101	0.047528517	0	0.048672566	0.051948052	0.018867925	0.095238095
ABCC5-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCC6	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCC8	0	0	0	0	0	0	0.000384468	0	0	0	0	0	0
ABCC9	0.000463607	0.002932551	0	0	0	0	0	0.001901141	0	0	0	0	0
ABCD1	0.035234121	0.011730205	0	0.071428571	0.044444444	0.021696948	0.021530181	0.032319392	0.016949153	0.017699115	0.012987013	0.037735849	0.071428571
ABCD2	0.004172462	0.023460411	0	0.023809524	0	0.004057153	0.008458285	0.003802281	0.016949153	0.004424779	0.025974026	0	0
ABCD3	0.058414465	0.032258065	0.045454545	0.023809524	0.022222222	0.059798906	0.068435217	0.062737643	0.025423729	0.057522124	0.077922078	0	0.19047619
ABCD4	0.090866945	0.099706745	0.075757576	0.095238095	0.111111111	0.080790263	0.083813918	0.076045627	0.06779661	0.10619469	0.077922078	0.037735849	0.166666667
ABCE1	0.165971256	0.129032258	0.136363636	0.214285714	0.133333333	0.103721997	0.093810073	0.104562738	0.118644068	0.119469027	0.116883117	0.018867925	0.452380952
