	NK.c01.CD56brightCD16hi	NK.c02.CD56brightCD16lo.GZMH	NK.c03.CD56brightCD16lo.IL7R.RGS1lo	NK.c04.CD56brightCD16lo.CCL3	NK.c05.CD56brightCD16lo.IL7R	NK.c06.CD56brightCD16lo.CREM	NK.c07.CD56dimCD16hi.IL32	NK.c08.CD56dimCD16hi.CX3CR1	NK.c09.CD56dimCD16hi.ZNF90	NK.c10.CD56dimCD16hi.NFKBIA	NK.c11.CD56dimCD16hi.MKI67	NK.c12.CD56dimCD16hi.DNAJB1	NK.c13.CD56dimCD16hi.NR4A3
RP11-34P13.3	0	0	0	0	0	0	0	0	0	0.003669424	0	0	0
RP11-34P13.7	0	0	0	0.010510959	0	0	0	0.008203167	0.023448598	0	0	0.001529379	0.000145128
RP11-34P13.8	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-34P13.14	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-34P13.9	0	0	0	0	0	0	0	0	0	0	0	0	0
FO538757.3	0	0	0	0	0	0	0	0	0	0	0	0	0
FO538757.2	0.169904665	0.235710594	0.083367496	0.197526078	0.301894131	0.144935597	0.259589428	0.270535669	0.289066638	0.17835991	0.158827836	0.159953355	0.130994687
AP006222.2	0	0	0	0	0	0.000854011	0	0	0	0	0	0.0005703	0.00162589
RP5-857K21.15	0	0	0	0	0	0	0	0	0	0	0	0	0
RP4-669L17.2	0	0	0	0	0	0	0	0	0	0	0	0	0
RP4-669L17.10	0	0	0	0	0.008993177	0.000709643	0	0.002749964	0	0.001468075	0	0.001848607	0.000909666
RP5-857K21.4	0	0	0	0	0	0	0	0	0	0	0	0	0.000190338
RP11-206L10.9	0.023375901	0.032303077	0.009121743	0.028377594	0	0.004506527	0	0.021036461	0	0.011733855	0.001361247	0.003333007	0.004720543
FAM87B	0	0	0	0	0	0	0	0.006842241	0	0	0	0	0
LINC00115	0.077774872	0	0.088736989	0.068614013	0.014006318	0.022347942	0.055549959	0.028096721	0.085346246	0.021754954	0.014175227	0.020886462	0.015637652
FAM41C	0	0	0	0	0	0	0	0	0	0	0	0	0.000474775
RP11-54O7.16	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-54O7.1	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-54O7.2	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-54O7.3	0	0	0	0	0	0.000238436	0	0	0	0	0	0	0.000197698
SAMD11	0	0	0	0	0	0.000859428	0	0	0	0.000855487	0	0.000319358	7.66E-05
NOC2L	0.163088352	0.35963554	0.146682377	0.247877228	0.155291148	0.15079979	0.190184317	0.117070809	0.209067337	0.146573243	0.069896116	0.140837244	0.146245017
KLHL17	0.064353941	0.014910011	0.031921157	0.0177751	0	0.008249727	0	0.014796385	0	0.010439005	0.009170994	0.007762153	0.003775778
PLEKHN1	0.047653543	0	0	0.012234246	0.025288523	0.013076103	0.009739161	0	0	0	0.024178988	0.00086385	0.000968609
PERM1	0	0.012460316	0	0	0	0	0	0	0	0	0	0.000437839	0
RP11-54O7.17	0	0	0	0	0	0.003735765	0	0	0	0.004879723	0	0.002563706	0.002934131
HES4	0	0	0	0.025811427	0	0.106035762	0.031151586	0.053302124	0.068891795	0.032675126	0.063367351	0.392432884	0.115621767
ISG15	0.058281765	0.308935848	0.522170674	0.34914627	0.144531046	0.705031117	0.57826258	0.473888303	0.31843627	0.539238034	0.319407246	0.704491669	0.616259617
RP11-54O7.11	0	0	0	0	0	0.001065651	0.009679191	0	0	0.001421902	0	0.002948921	0.001164426
AGRN	0	0	0	0.001589777	0	0.007764492	0	0	0	0.010907416	0	0.003960088	0.002144115
RP11-54O7.18	0	0	0	0	0	0.001636171	0	0	0	0	0	0	0
RNF223	0	0	0	0	0	0	0	0	0	0	0	0	0
C1orf159	0.032818619	0	0.049082353	0.021644636	0	0.013366573	0.007335047	0.040800726	0.013816436	0.034623837	0.018127557	0.030348001	0.021692853
LINC01342	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-465B22.8	0	0	0	0	0	0	0	0	0	0	0	0	0
TTLL10-AS1	0	0	0	0.005455789	0	0.000244121	0	0	0	0	0	0	0
TTLL10	0.017398964	0	0.076076814	0.015706836	0.053937795	0.013238896	0	0	0	0	0	0	0
TNFRSF18	0.236135492	0.374550032	1.62814534	1.046464719	1.275800528	1.209292302	0.163025451	0.125245587	0.146501953	0.174671924	0.176654613	0.172065571	0.169029639
TNFRSF4	0.156723331	0.162795077	1.264236471	0.156011519	0.237172321	0.195431809	0.01917946	0.036764058	0.018932665	0.050072394	0.025990026	0.073260446	0.082124235
SDF4	0.523498266	0.319408891	0.368391979	0.46389244	0.493645154	0.497551664	0.716025715	0.781738976	0.861388065	0.654633969	0.658164118	0.591257176	0.671331027
